Project,Module,Priority,Category,FileName,LineNumber,FilePath,Link
DP,dpnextgen,Critical,Password Management: Hardcoded Password,en.js,37,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/lang/en.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA526587356
DP,dpnextgen,Critical,Weak Encryption,AdvancedScheduler.js,1,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/components/dp-scheduler-gui/src/main/webapp/AdvancedScheduler.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA526567167
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects.es5.js,12177,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/@ux-aspects/ux-aspects.es5.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA498087364
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects-ux-aspects.umd.js,15532,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/bundles/ux-aspects-ux-aspects.umd.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA498087363
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects.umd.js,12152,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/bundles/ux-aspects.umd.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA498087362
DP,dpnextgen,Critical,Dynamic Code Evaluation: Code Injection,spinner.js,7,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-gui/src/main/resources/node_modules/jshint/node_modules/cli/examples/spinner.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA498084892
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,select.component.js,235,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/esm5/components/select/select.component.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA498072638
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects-ux-aspects.js,17189,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/fesm5/ux-aspects-ux-aspects.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA498072637
DP,dpnextgen,Critical,Privacy Violation,RestCall.java,74,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/integ/vmware/GRE/FlexWebGrePlugin/src/GreJavaModule/src/main/java/com/hp/dp/gre/rest/RestCall.java,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497970166
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,library.js,1701,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/core-js/client/library.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497963092
DP,dpnextgen,Critical,Cross-Site Scripting: DOM,auth.html,40,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/src/auth.html,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497956817
DP,dpnextgen,Critical,Dynamic Code Evaluation: Code Injection,progress.js,5,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-gui/src/main/resources/node_modules/jshint/node_modules/cli/examples/progress.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497946262
DP,dpnextgen,Critical,Cross-Site Scripting: Reflected,ConfigServlet.java,83,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/OptionsTuning/src/main/java/com/hp/dp/editor/ConfigServlet.java,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497943338
DP,dpnextgen,Critical,Dynamic Code Evaluation: Code Injection,activate.js,45,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/components/dp-scheduler-gui/src/main/webapp/locale/activate.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497882025
DP,dpnextgen,Critical,Dynamic Code Evaluation: Code Injection,activate.js,63,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/components/dp-scheduler-gui/src/main/webapp/locale/activate.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497881627
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,swagger-ui-bundle.js,85,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/swagger-ui-bundle.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497849142
DP,dpnextgen,Critical,Privacy Violation,RestCall.java,275,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/integ/vmware/GRE/FlexWebGrePlugin/src/GreJavaModule/src/main/java/com/hp/dp/gre/rest/RestCall.java,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497838863
DP,dpnextgen,Critical,Privacy Violation,LicenseDataService.java,47,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/components/dp-config-server/src/main/java/com/hp/im/dp/jce/config/ws/license/LicenseDataService.java,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497824741
DP,dpnextgen,Critical,Dynamic Code Evaluation: Code Injection,AdvancedScheduler.js,1,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/components/dp-scheduler-gui/src/main/webapp/AdvancedScheduler.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497792324
DP,dpnextgen,Critical,Dynamic Code Evaluation: Code Injection,MissedJobExecutions.js,1,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/components/dp-scheduler-gui/src/main/webapp/MissedJobExecutions.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497792323
DP,dpnextgen,Critical,Dynamic Code Evaluation: Code Injection,activate.js,14,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/components/dp-scheduler-gui/src/main/webapp/locale/activate.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497792322
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects.es5.js,12889,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/@ux-aspects/ux-aspects.es5.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497757541
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects-ux-aspects.umd.js,16393,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/bundles/ux-aspects-ux-aspects.umd.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497757540
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects.umd.js,12864,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/bundles/ux-aspects.umd.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497757409
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,tag-input.component.js,859,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/esm5/components/tag-input/tag-input.component.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497757408
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects-ux-aspects.js,18172,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/fesm5/ux-aspects-ux-aspects.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497757407
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects-ux-aspects.js,16058,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/fesm2015/ux-aspects-ux-aspects.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497740209
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects.js,13284,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/@ux-aspects/ux-aspects.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497740208
DP,dpnextgen,Critical,Dynamic Code Evaluation: Code Injection,make.js,9,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-gui/src/main/resources/node_modules/jshint/node_modules/shelljs/make.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497727527
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects.js,12523,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/@ux-aspects/ux-aspects.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497724129
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects-ux-aspects.js,15245,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/fesm2015/ux-aspects-ux-aspects.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497724001
DP,dpnextgen,Critical,Privacy Violation,RestCall.java,77,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/integ/vmware/GRE/FlexWebGrePlugin/src/GreJavaModule/src/main/java/com/hp/dp/gre/rest/RestCall.java,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497616406
DP,dpnextgen,Critical,Cross-Site Scripting: Reflected,ExtractAuthHeader.jspf,16,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-gui/src/main/webapp/clientSource/common/ExtractAuthHeader.jspf,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497606620
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects-ux-aspects.umd.min.js,1,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/bundles/ux-aspects-ux-aspects.umd.min.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497582618
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects.umd.min.js,8,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/bundles/ux-aspects.umd.min.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497581300
DP,dpnextgen,Critical,JSON Injection,JSONObject.java,310,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/integ/vmware/GRE/FlexWebPlugin/GreJavaModule/src/main/resources/org/json/JSONObject.java,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497580744
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects-ng1.min.js,10,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/dist/ng1/ux-aspects-ng1.min.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497580364
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,ux-aspects-ng1.min.js,10,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/ng1/ux-aspects-ng1.min.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497580363
DP,dpnextgen,Critical,JSON Injection,JSONTokener.java,83,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/integ/vmware/GRE/FlexWebPlugin/GreJavaModule/src/main/resources/org/json/JSONTokener.java,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497561498
DP,dpnextgen,Critical,Key Management: Hardcoded Encryption Key,jstree.js,5258,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-gui/src/main/webapp/clientSource/lib/jstree.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497558324
DP,dpnextgen,Critical,Privacy Violation,UserManagementImpl.java,132,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/components/dp-user-management/src/main/java/com/hp/im/dp/jce/user/ws/v1/user/UserManagementImpl.java,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497545095
DP,dpnextgen,Critical,Cross-Site Scripting: Reflected,FetchLanguageMap.jspf,69,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-gui/src/main/webapp/clientSource/common/FetchLanguageMap.jspf,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497519792
DP,dpnextgen,Critical,Cross-Site Scripting: Reflected,FetchLanguageMap.jspf,84,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-gui/src/main/webapp/clientSource/common/FetchLanguageMap.jspf,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497519663
DP,dpnextgen,Critical,Cross-Site Scripting: DOM,auth.html,38,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/src/auth.html,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497517814
DP,dpnextgen,Critical,Cross-Site Scripting: DOM,fauth.html,19,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-gui/src/main/webapp/clientSource/smartStoreConfiguration/fauth.html,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497489999
DP,dpnextgen,Critical,Cross-Site Scripting: DOM,fauth.html,17,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-gui/src/main/webapp/clientSource/smartStoreConfiguration/fauth.html,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497486167
DP,dpnextgen,Critical,Insecure SSL: Overly Broad Certificate Trust,RestCall.java,323,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/integ/vmware/GRE/FlexWebGrePlugin/src/GreJavaModule/src/main/java/com/hp/dp/gre/rest/RestCall.java,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA433845373
DP,dpnextgen,Critical,CWE-20 Improper Input Validation: CVE-2008-2712,vim25.jar,null,src_root/src/integ/vmware/GRE/AngularWebGrePlugin/src/GreAngJavaModule/lib/vim25.jar,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=DEPENDENCIES205684
DP,dpnextgen,Critical,CWE-20 Improper Input Validation: CVE-2008-4101,vim25.jar,null,src_root/src/integ/vmware/GRE/AngularWebGrePlugin/src/GreAngJavaModule/lib/vim25.jar,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=DEPENDENCIES205683
DP,dpnextgen,Critical,CWE-264 Permissions Privileges and Access Controls: CVE-2016-0766,postgresql-9.0-801.jdbc4.jar,null,src_root/src/jboss/AS7/modules/org/postgresql/main/postgresql-9.0-801.jdbc4.jar,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=DEPENDENCIES198526
DP,dpnextgen,Critical,CWE-20 Improper Input Validation: CVE-2014-1209,vsphere-java-client-lib-5.1.jar,null,src_root/bin/java/apache-maven/repository/vsphere-client-lib/vsphere-java-client-lib/5.1/vsphere-java-client-lib-5.1.jar,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=DEPENDENCIES198502
DP,dpnextgen,Critical,CWE-264 Permissions Privileges and Access Controls: CVE-2016-0766,postgresql-9.0-801.jdbc4.jar,null,src_root/bin/java/apache-maven/repository/postgresql/postgresql/9.0-801.jdbc4/postgresql-9.0-801.jdbc4.jar,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=DEPENDENCIES198500
DP,dpnextgen,Critical,CWE-20 Improper Input Validation: CVE-2008-2712,GreJavaModule-8.1.0.jar: vim25.jar,null,src_root/bin/java/apache-maven/repository/com/hp/gre/GreJavaModule/8.1.0/GreJavaModule-8.1.0.jar/lib/vim25.jar,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=DEPENDENCIES198270
DP,dpnextgen,Critical,CWE-20 Improper Input Validation: CVE-2008-4101,GreJavaModule-8.1.0.jar: vim25.jar,null,src_root/bin/java/apache-maven/repository/com/hp/gre/GreJavaModule/8.1.0/GreJavaModule-8.1.0.jar/lib/vim25.jar,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=DEPENDENCIES198269
DP,dp-wi,High,Password Management: Insecure Submission,null,0,/dp-nextgen/js/,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=WEBINSPECT537897748
DP,dpnextgen,High,Password Management: Hardcoded Password,swagger-ui-bundle.js,67,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/swagger-ui-bundle.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA527155819
DP,dpnextgen,High,Password Management: Hardcoded Password,swagger-ui.js,1,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/swagger-ui.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA527078307
DP,dpnextgen,High,Insecure Randomness,swagger-ui.min.js,11,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/swagger-ui.min.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA526945039
DP,dpnextgen,High,Insecure Randomness,swagger-ui.min.js,10,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/swagger-ui.min.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA526782450
DP,dpnextgen,High,Insecure Randomness,ux-aspects-ux-aspects.js,2327,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/fesm2015/ux-aspects-ux-aspects.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA498108843
DP,dpnextgen,High,Insecure Randomness,ux-aspects.js,1550,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-nextgen/bower_components/ux-aspects/@ux-aspects/ux-aspects.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA498108712
DP,dpnextgen,High,Insecure Randomness,underscore.js,292,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/WebGUI/dp-gui/src/main/resources/node_modules/jshint/node_modules/underscore/underscore.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA498089217
DP,dpnextgen,High,Unreleased Resource: Sockets,OmnibackCore.java,126,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/java/reporting/OmnibackCore.java,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA498080445
DP,dpnextgen,High,Insecure Randomness,swagger-ui-bundle.js,92,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/swagger-ui-bundle.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA498079027
DP,dpnextgen,High,Insecure Randomness,ServiceDescriptionDAO.java,212,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/components/jce-serviceregistry/src/main/java/com/hp/im/jce/serviceregistry/jpa/ServiceDescriptionDAO.java,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA498050678
DP,dpnextgen,High,Insecure Randomness,swagger-ui-bundle.js,86,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/swagger/src/main/webapp/swagger-ui-bundle.js,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497997250
DP,dpnextgen,High,Access Specifier Manipulation,RegistryReader.java,182,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/jboss/dp-cmnlib/src/main/java/com/hp/im/dp/idb/server/win/RegistryReader.java,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497994552
DP,dpnextgen,High,Unreleased Resource: Sockets,OmnibackCore.java,101,DATA/home/fortify/Projects/Internal/DP/dpnextgen_2019-06-10-03-42-07/src/java/common/OmnibackCore.java,https://stat.rndsec.microfocus.com/stat/stat.html?proj=DP&issue=SCA222313476&issue=SCA497987368
